1.47, -88.0, 18.0, -11.0
1.48, -119.0, 7.0, 81.0
1.49, -105.0, -15.0, 62.0
1.5, 26.0, 37.0, 96.0
1.51, 46.0, 166.0, 152.0
1.52, 44.0, 208.0, 78.0
1.53, 98.0, 248.0, 58.0
1.54, -46.0, 214.0, -6.0
1.55, -162.0, 64.0, -51.0
1.56, 6.0, -105.0, -28.0
1.57, 151.0, -179.0, -163.0
1.58, 58.0, -52.0, -258.0
1.59, -88.0, 24.0, -219.0
1.6, -106.0, -15.0, -183.0
1.61, -126.0, -49.0, -186.0
1.62, -192.0, -100.0, -258.0
1.63, -161.0, -123.0, -299.0
1.64, -114.0, -167.0, -221.0
1.65, -123.0, -188.0, -86.0
1.66, -80.0, -102.0, 7.0
1.67, -68.0, 10.0, 33.0
1.68, -136.0, 85.0, -2.0
1.69, -94.0, 91.0, -18.0
1.7, 29.0, 20.0, 2.0
1.71, 29.0, -42.0, -2.0
1.72, -52.0, -17.0, 22.0
1.73, -45.0, 10.0, 59.0
1.74, -13.0, 3.0, 80.0
1.75, -73.0, 23.0, 29.0
1.76, -91.0, 16.0, -66.0
1.77, -22.0, -90.0, -160.0
1.78, -42.0, -216.0, -292.0
1.79, -150.0, -214.0, -369.0
1.8, -242.0, -116.0, -414.0
1.81, -257.0, -25.0, -363.0
1.82, -163.0, 27.0, -132.0
1.83, -123.0, 51.0, -57.0
1.84, -119.0, 67.0, -201.0
1.85, -17.0, 1.0, -260.0
1.86, 22.0, -61.0, -248.0
1.87, -67.0, -28.0, -217.0
1.88, -177.0, -11.0, -133.0
1.89, -129.0, -13.0, -35.0
1.9, 32.0, -31.0, 124.0
1.91, 3.0, -59.0, 151.0
1.92, -64.0, -55.0, 5.0
1.93, 57.0, -118.0, 17.0
1.94, 115.0, -189.0, 121.0
1.95, -32.0, -73.0, 139.0
1.96, -118.0, 111.0, 89.0
1.97, -65.0, 132.0, 77.0
1.98, -43.0, 39.0, 113.0
1.99, 5.0, -48.0, 11.0
2.0, 54.0, -59.0, -180.0
2.01, 9.0, 7.0, -244.0
2.02, -61.0, 29.0, -132.0
2.03, -122.0, 21.0, -117.0
2.04, -192.0, 23.0, -242.0
2.05, -284.0, 0.0, -244.0
2.06, -220.0, -5.0, -201.0
2.07, -29.0, 14.0, -185.0
2.08, -6.0, 78.0, -186.0
2.09, -58.0, 153.0, -188.0
2.1, -8.0, 122.0, -146.0
2.11, 47.0, 7.0, -134.0
2.12, -26.0, -99.0, -177.0
2.13, -132.0, -153.0, -240.0
2.14, -87.0, -193.0, -209.0
2.15, 4.0, -201.0, -117.0
2.16, -54.0, -106.0, -97.0
2.17, -196.0, -57.0, -168.0
2.18, -206.0, -189.0, -248.0
2.19, -105.0, -329.0, -109.0
2.2, -104.0, -358.0, -2.0
2.21, -174.0, -264.0, -113.0
2.22, -171.0, -66.0, -101.0
2.23, -101.0, 105.0, -7.0
2.24, -7.0, 197.0, 87.0
2.25, 61.0, 187.0, 125.0
2.26, 36.0, 158.0, -1.0
2.27, -16.0, 112.0, -45.0
2.28, -69.0, -34.0, -38.0
2.29, -118.0, -111.0, -134.0
2.3, -120.0, -65.0, -139.0
2.31, -159.0, 12.0, -67.0
2.32, -125.0, 85.0, -40.0
2.33, 1.0, 109.0, -45.0
2.34, 54.0, 30.0, -128.0
2.35, 72.0, -109.0, -130.0
2.36, 54.0, -236.0, -10.0
2.37, 15.0, -234.0, 12.0
2.38, -17.0, -117.0, -13.0
2.39, -79.0, -89.0, -24.0
2.4, -141.0, -21.0, -60.0
2.41, -121.0, 74.0, -107.0
2.42, -28.0, 35.0, -160.0
2.43, -28.0, -9.0, -214.0
2.44, -66.0, 10.0, -224.0
2.45, -58.0, 61.0, -100.0
2.46, -85.0, 25.0, 22.0
2.47, -152.0, -39.0, -3.0
2.48, -221.0, -52.0, -151.0
2.49, -243.0, -95.0, -307.0
2.5, -214.0, -117.0, -245.0
2.51, -113.0, -100.0, -101.0
2.52, 9.0, 46.0, -95.0
2.53, 36.0, 152.0, -48.0
2.54, 8.0, 0.0, 29.0
2.55, 9.0, -105.0, -20.0
2.56, 14.0, -104.0, -84.0
2.57, -65.0, -116.0, -187.0
2.58, -108.0, -134.0, -283.0
2.59, -8.0, -209.0, -185.0
2.6, 46.0, -257.0, -87.0
2.61, -33.0, -194.0, -11.0
2.62, -85.0, -123.0, 38.0
2.63, -59.0, -86.0, -78.0
2.64, -112.0, 33.0, -161.0
2.65, -181.0, 82.0, -155.0
2.66, -173.0, 68.0, -88.0
2.67, -181.0, 175.0, -66.0
2.68, -151.0, 234.0, -101.0
2.69, -125.0, 230.0, -76.0
2.7, -94.0, 207.0, -119.0
2.71, 74.0, 117.0, -66.0
2.72, 167.0, 15.0, 20.0
2.73, 50.0, -31.0, -71.0
2.74, -77.0, -39.0, -161.0
2.75, -93.0, -111.0, -206.0
2.76, -90.0, -167.0, -103.0
2.77, -78.0, -225.0, -6.0
2.78, 19.0, -293.0, -13.0
2.79, 56.0, -213.0, 56.0
2.8, -1.0, -136.0, 82.0
2.81, -3.0, -113.0, 58.0
2.82, -58.0, -65.0, 41.0
2.83, -224.0, -74.0, 19.0
2.84, -254.0, -91.0, -32.0
2.85, -97.0, -38.0, -149.0
2.86, -26.0, 78.0, -243.0
2.87, -98.0, 140.0, -244.0
2.88, -156.0, 114.0, -148.0
2.89, -163.0, 133.0, -16.0
2.9, -222.0, 135.0, 30.0
2.91, -320.0, 53.0, -50.0
2.92, -279.0, -69.0, -74.0
2.93, -193.0, -196.0, -22.0
2.94, -134.0, -284.0, 34.0
2.95, -47.0, -309.0, 122.0
2.96, -81.0, -230.0, 74.0
2.97, -55.0, -209.0, 79.0
2.98, 142.0, -314.0, 213.0
2.99, 251.0, -296.0, 150.0
3.0, 282.0, -138.0, 0.0
3.01, 328.0, 0.0, -135.0
3.02, 334.0, 166.0, -248.0
3.03, 242.0, 393.0, -306.0
3.04, 126.0, 578.0, -342.0
3.05, 93.0, 675.0, -337.0
3.06, 104.0, 704.0, -373.0
3.07, 37.0, 814.0, -511.0
3.08, -200.0, 990.0, -689.0
3.09, -483.0, 967.0, -740.0
3.1, -602.0, 695.0, -628.0
3.11, -717.0, 264.0, -527.0
3.12, -923.0, -183.0, -498.0
3.13, -897.0, -566.0, -375.0
3.14, -712.0, -796.0, -209.0
3.15, -624.0, -728.0, -168.0
3.16, -405.0, -643.0, -82.0
3.17, 110.0, -798.0, 56.0
3.18, 660.0, -1023.0, 119.0
3.19, 953.0, -1200.0, 107.0
3.2, 998.0, -1284.0, 77.0
3.21, 903.0, -1223.0, 92.0
3.22, 664.0, -1062.0, 137.0
3.23, 353.0, -864.0, 80.0
3.24, 121.0, -675.0, -126.0
3.25, -56.0, -455.0, -173.0
3.26, -244.0, -169.0, -12.0
3.27, -412.0, 164.0, 181.0
3.28, -608.0, 545.0, 371.0
3.29, -814.0, 861.0, 366.0
3.3, -798.0, 1120.0, 180.0
3.31, -531.0, 1370.0, 13.0
3.32, -317.0, 1549.0, -62.0
3.33, -192.0, 1527.0, 5.0
3.34, -36.0, 1221.0, 187.0
3.35, 75.0, 827.0, 251.0
3.36, 124.0, 404.0, 133.0
3.37, 142.0, -74.0, 22.0
3.38, 186.0, -600.0, -101.0
3.39, 262.0, -1141.0, -144.0
3.4, 261.0, -1517.0, -168.0
3.41, 170.0, -1714.0, -376.0
3.42, 23.0, -1762.0, -472.0
3.43, -176.0, -1679.0, -427.0
3.44, -321.0, -1354.0, -416.0
3.45, -274.0, -825.0, -362.0
3.46, -124.0, -300.0, -221.0
3.47, -37.0, 359.0, -19.0
3.48, 22.0, 1018.0, 139.0
3.49, 143.0, 1520.0, 170.0
3.5, 290.0, 1925.0, 57.0
3.51, 317.0, 2119.0, -67.0
